iter	Passed	Remaining
0	1	124
1	2	120
2	3	116
3	4	108
4	5	106
5	6	104
6	7	103
7	8	103
8	10	103
9	11	101
10	12	99
11	13	98
12	14	97
13	15	96
14	16	94
15	17	93
16	18	92
17	19	90
18	21	89
19	22	89
20	23	88
21	24	86
22	25	86
23	27	85
24	28	84
25	29	83
26	30	82
27	31	80
28	32	79
29	33	78
30	34	77
31	35	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	70
37	42	69
38	43	68
39	44	67
40	45	65
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	56	53
51	57	52
52	58	51
53	59	50
54	59	49
55	60	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	74	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	97	11
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	108	1
99	109	0
