iter	Passed	Remaining
0	143	143806
1	145	72359
2	146	48575
3	149	37241
4	151	30123
5	152	25245
6	153	21745
7	154	19145
8	155	17132
9	156	15501
10	157	14176
11	158	13063
12	160	12154
13	161	11348
14	165	10835
15	166	10266
16	167	9711
17	168	9213
18	169	8767
19	172	8460
20	174	8135
21	175	7811
22	180	7656
23	183	7473
24	185	7215
25	186	7003
26	187	6773
27	188	6557
28	189	6361
29	191	6176
30	192	6024
31	198	5990
32	199	5836
33	200	5685
34	202	5575
35	203	5440
36	204	5328
37	205	5211
38	206	5094
39	210	5050
40	212	4971
41	213	4876
42	214	4783
43	216	4701
44	218	4628
45	218	4540
46	219	4458
47	220	4378
48	221	4306
49	224	4273
50	226	4221
51	228	4160
52	229	4099
53	230	4038
54	231	3979
55	232	3918
56	233	3859
57	234	3803
58	235	3749
59	235	3696
60	237	3650
61	242	3674
62	243	3628
63	245	3590
64	246	3545
65	247	3501
66	248	3460
67	249	3420
68	250	3380
69	251	3344
70	255	3348
71	257	3321
72	258	3285
73	259	3248
74	260	3212
75	261	3177
76	262	3144
77	263	3110
78	264	3079
79	265	3051
80	266	3024
81	269	3016
82	270	2985
83	272	2971
84	273	2946
85	274	2918
86	275	2892
87	277	2870
88	278	2846
89	278	2820
90	279	2794
91	280	2770
92	281	2746
93	283	2734
94	285	2717
95	286	2702
96	288	2681
97	288	2659
98	289	2637
99	290	2616
100	291	2597
101	293	2580
102	294	2561
103	295	2544
104	296	2526
105	300	2537
106	302	2525
107	303	2509
108	304	2490
109	305	2471
110	306	2455
111	307	2437
112	308	2419
113	309	2402
114	309	2385
115	310	2368
116	311	2352
117	314	2349
118	316	2339
119	317	2324
120	317	2309
121	318	2292
122	319	2280
123	321	2268
124	321	2253
125	323	2242
126	324	2228
127	325	2214
128	325	2200
129	328	2201
130	331	2196
131	332	2183
132	332	2170
133	333	2157
134	335	2147
135	336	2138
136	337	2126
137	339	2118
138	340	2106
139	341	2097
140	343	2091
141	344	2080
142	345	2070
143	346	2058
144	347	2047
145	348	2035
146	348	2024
147	349	2013
148	350	2002
149	351	1992
150	352	1981
151	353	1971
152	354	1960
153	354	1950
154	357	1946
155	358	1938
156	359	1932
157	360	1923
158	361	1913
159	362	1903
160	363	1892
161	364	1885
162	365	1875
163	366	1865
164	366	1856
165	367	1847
166	368	1838
167	369	1830
168	370	1821
169	372	1819
170	374	1816
171	375	1808
172	376	1799
173	377	1790
174	378	1782
175	378	1774
176	379	1765
177	380	1757
178	381	1749
179	382	1741
180	383	1733
181	383	1725
182	384	1717
183	387	1716
184	390	1718
185	391	1711
186	392	1704
187	393	1697
188	394	1691
189	395	1684
190	395	1677
191	397	1670
192	397	1663
193	398	1656
194	399	1649
195	401	1647
196	402	1641
197	403	1635
198	404	1630
199	406	1624
200	407	1619
201	408	1613
202	409	1607
203	410	1601
204	411	1595
205	412	1588
206	412	1582
207	413	1576
208	414	1570
209	416	1566
210	417	1562
211	418	1556
212	419	1550
213	420	1544
214	421	1538
215	422	1532
216	423	1526
217	423	1520
218	424	1514
219	425	1508
220	426	1503
221	427	1498
222	428	1492
223	429	1486
224	430	1483
225	431	1479
226	432	1474
227	433	1468
228	434	1463
229	435	1457
230	436	1452
231	437	1447
232	437	1441
233	438	1436
234	439	1430
235	440	1426
236	441	1421
237	442	1415
238	442	1410
239	443	1405
240	446	1404
241	447	1401
242	448	1395
243	449	1391
244	449	1386
245	450	1381
246	451	1376
247	452	1371
248	453	1366
249	453	1361
250	454	1356
251	455	1352
252	456	1347
253	457	1342
254	458	1338
255	458	1333
256	460	1331
257	462	1330
258	463	1325
259	464	1321
260	465	1317
261	466	1312
262	467	1309
263	468	1304
264	468	1300
265	469	1296
266	470	1292
267	471	1287
268	472	1283
269	473	1279
270	474	1275
271	475	1272
272	476	1269
273	477	1264
274	478	1260
275	478	1256
276	479	1252
277	480	1248
278	481	1244
279	482	1240
280	483	1236
281	484	1232
282	484	1228
283	485	1224
284	486	1220
285	487	1216
286	488	1213
287	490	1211
288	491	1208
289	492	1204
290	493	1201
291	493	1197
292	494	1193
293	495	1190
294	496	1186
295	497	1182
296	498	1179
297	499	1175
298	499	1171
299	500	1168
300	501	1165
301	502	1161
302	503	1158
303	504	1156
304	506	1153
305	507	1150
306	507	1146
307	508	1142
308	509	1139
309	510	1136
310	511	1133
311	512	1129
312	513	1126
313	514	1122
314	515	1120
315	516	1117
316	517	1114
317	517	1110
318	520	1110
319	521	1107
320	521	1104
321	522	1100
322	523	1097
323	524	1094
324	525	1091
325	526	1088
326	527	1085
327	529	1084
328	530	1081
329	531	1078
330	531	1075
331	533	1073
332	534	1070
333	536	1068
334	537	1066
335	538	1063
336	539	1060
337	540	1057
338	542	1058
339	543	1055
340	544	1052
341	545	1049
342	546	1047
343	547	1044
344	551	1046
345	551	1043
346	553	1040
347	554	1038
348	555	1036
349	556	1033
350	557	1030
351	558	1027
352	559	1025
353	560	1022
354	561	1019
355	561	1016
356	564	1017
357	565	1014
358	566	1012
359	567	1009
360	568	1006
361	569	1003
362	570	1000
363	571	997
364	572	995
365	573	992
366	574	990
367	575	987
368	575	984
369	576	982
370	578	981
371	580	979
372	581	976
373	582	974
374	583	971
375	584	969
376	585	968
377	586	965
378	587	962
379	588	960
380	589	958
381	590	955
382	591	953
383	594	953
384	595	951
385	596	948
386	597	946
387	598	944
388	599	942
389	600	939
390	601	936
391	602	934
392	603	932
393	604	930
394	605	927
395	607	926
396	608	924
397	609	921
398	610	919
399	611	917
400	612	914
401	613	912
402	614	910
403	615	907
404	616	905
405	616	902
406	617	900
407	618	897
408	619	895
409	620	892
410	621	890
411	623	889
412	625	888
413	626	886
414	626	883
415	627	881
416	628	878
417	629	876
418	630	873
419	631	871
420	632	869
421	632	866
422	633	864
423	634	862
424	635	859
425	637	858
426	639	858
427	640	856
428	641	853
429	642	851
430	643	849
431	644	847
432	645	845
433	646	843
434	647	841
435	648	838
436	649	836
437	650	834
438	652	833
439	653	831
440	654	829
441	655	827
442	656	825
443	657	823
444	658	821
445	659	818
446	660	816
447	660	814
448	661	811
449	662	809
450	663	807
451	664	805
452	666	804
453	667	802
454	668	800
455	669	799
456	670	797
457	671	794
458	672	792
459	673	790
460	674	788
461	675	786
462	676	784
463	677	782
464	678	780
465	679	778
466	680	776
467	683	776
468	683	774
469	684	772
470	685	769
471	686	767
472	687	765
473	688	764
474	689	761
475	690	759
476	691	757
477	692	755
478	693	753
479	694	751
480	695	750
481	697	749
482	698	747
483	699	745
484	700	743
485	701	741
486	701	739
487	702	737
488	703	735
489	704	733
490	705	731
491	706	729
492	707	727
493	709	726
494	711	725
495	712	723
496	712	721
497	713	719
498	715	718
499	716	716
500	717	714
501	717	712
502	718	710
503	719	708
504	720	706
505	721	704
506	722	702
507	723	701
508	726	700
509	727	698
510	728	697
511	729	695
512	730	693
513	731	691
514	732	689
515	732	687
516	733	685
517	734	683
518	735	681
519	736	679
520	737	677
521	738	676
522	740	675
523	741	673
524	741	671
525	742	669
526	743	667
527	744	665
528	745	663
529	746	662
530	747	660
531	748	658
532	749	656
533	750	654
534	751	652
535	752	651
536	752	649
537	754	647
538	755	646
539	756	644
540	757	642
541	758	640
542	759	638
543	760	637
544	761	635
545	762	634
546	763	632
547	764	630
548	765	628
549	766	626
550	766	624
551	768	623
552	769	622
553	770	620
554	771	618
555	772	616
556	773	615
557	774	613
558	775	611
559	776	610
560	777	608
561	778	606
562	779	605
563	780	603
564	781	601
565	782	599
566	783	598
567	784	596
568	785	595
569	787	594
570	788	592
571	789	590
572	790	588
573	791	587
574	792	585
575	793	584
576	794	582
577	795	580
